0100,國立臺灣大學,資訊工程學系,數甲x2.00 物x1.50 化x1.00 英x1.00,49,286.50,,295.80,-------,-------,-------,-------
0101,國立臺灣大學,法律學系法學組,英x1.00 國x1.00 數Bx1.00 公x1.25 歷x1.00,28,285.50,,-------,-------,-------,-------,-------
0102,國立臺灣大學,法律學系司法組,英x1.00 國x1.00 數Bx1.00 公x1.25 歷x1.00,25,288.25,英文 53 國文 57,-------,-------,-------,-------,-------
0103,國立臺灣大學,法律學系財經法學組,英x1.00 國x1.00 數Bx1.00 公x1.25 歷x1.00,26,292.00,英文 56 國文 57,-------,-------,-------,-------,-------
0104,國立臺灣大學,生命科學系,生x1.00 英x1.00 化x1.00 數Ax1.00 物x1.00,18,216.00,生物 55,-------,-------,-------,-------,-------
0105,國立臺灣大學,生化科技學系,化x1.00 數甲x1.00 物x1.00 生x1.00 英x1.00,12,229.00,,-------,-------,-------,-------,-------
0106,國立臺灣大學,國際體育運動事務學士學位學程,英x2.00 國x1.25 數Bx1.00 公x1.00,2,273.25,,-------,-------,-------,-------,-------
0107,國立臺灣師範大學,教育學系,英x1.50 國x1.50 歷x1.00 地x1.00 數Bx1.00,26,271.00,,-------,-------,-------,-------,-------
0110,國立臺灣師範大學,教育心理與輔導學系,英x1.25 數Bx1.25 國x1.00 公x1.00 歷x1.00,12,274.00,,333.85,-------,-------,-------,-------
0111,國立臺灣師範大學,社會教育學系,公x1.50 國x1.50 英x1.50 歷x1.00 地x1.00,23,293.50,,-------,-------,-------,-------,-------
0112,國立臺灣師範大學,健康促進與衛生教育學系,英x1.50 生x1.50 數甲x1.00 國x1.00,12,196.50,英文 42,-------,-------,-------,-------,-------
0113,國立臺灣師範大學,人類發展與家庭學系家庭生活教育組,英x2.00 數Bx2.00 國x1.75 公x1.00,7,293.00,,-------,-------,-------,-------,-------
0114,國立臺灣師範大學,人類發展與家庭學系幼兒發展與教育組,英x2.00 國x2.00 數Bx1.75 公x1.00,8,289.75,,-------,-------,-------,-------,-------
0115,國立臺灣師範大學,公民教育與活動領導學系,公x2.00 國x1.25 英x1.25 數Bx1.00,42,239.75,,-------,-------,-------,-------,-------
0116,國立臺灣師範大學,特殊教育學系,國x1.25 英x1.25 公x1.00,13,159.75,,171.90,-------,-------,-------,-------
0117,國立臺灣師範大學,學習科學學士學位學程,數甲x2.00 國x1.50 英x1.50,4,203.50,,-------,-------,-------,-------,-------
0120,國立臺灣師範大學,教育學院學士班,國x1.00 英x1.00 公x1.00,5,151.00,,-------,-------,-------,-------,-------
0121,國立臺灣師範大學,國文學系,國x2.00 英x1.50 歷x1.00 地x1.00,40,247.50,國文 47,258.65,-------,-------,-------,-------
0122,國立臺灣師範大學,英語學系,英x2.00 國x1.50 數Bx1.00 歷x1.00 地x1.00,11,293.50,,-------,-------,-------,-------,-------
0123,國立臺灣師範大學,歷史學系,歷x1.50 國x1.25 英x1.25 地x1.00 數Bx1.00,31,262.50,,-------,-------,-------,-------,-------
0124,國立臺灣師範大學,地理學系,地x1.50 英x1.25 歷x1.00 數Bx1.00 國x1.00,23,266.75,,-------,-------,-------,-------,-------
0125,國立臺灣師範大學,臺灣語文學系,英x1.50 公x1.50 國x1.00 歷x1.50 地x1.00,7,293.50,,-------,-------,-------,-------,-------
0126,國立臺灣師範大學,數學系,數甲x2.00 英x1.00 物x1.00,31,135.00,數學甲 41,-------,-------,-------,-------,-------
0127,國立臺灣師範大學,物理學系,物x1.50 數甲x1.50 英x1.25 化x1.00 國x1.00,19,223.50,,-------,-------,-------,-------,-------
0130,國立臺灣師範大學,化學系,化x1.75 物x1.50 英x1.25 數甲x1.00 國x1.00,44,241.75,,-------,-------,-------,-------,-------
0131,國立臺灣師範大學,生命科學系,生x1.50 化x1.25 英x1.25 數甲x1.00 國x1.00,25,235.75,,-------,-------,-------,-------,-------
0132,國立臺灣師範大學,地球科學系,數甲x2.00 物x2.00 化x1.50 英x1.00,10,209.00,,-------,-------,-------,-------,-------
0133,國立臺灣師範大學,資訊工程學系,數甲x1.00 英x1.00 物x1.00 國x1.00 化x1.00,15,211.00,數學甲 34,-------,-------,-------,-------,-------
0134,國立臺灣師範大學,營養科學學士學位學程,化x1.50 生x1.50 英x1.50 數甲x1.00 國x1.00,22,236.50,,-------,-------,-------,-------,-------
0135,國立臺灣師範大學,工業教育學系,數甲x1.50 英x1.00 國x1.00,2,139.50,,142.20,-------,-------,-------,-------
0136,國立臺灣師範大學,科技應用與人力資源發展學系,數Bx1.25 英x1.25 物x1.00 化x1.00 國x1.00,13,211.50,,224.05,-------,-------,-------,-------
0137,國立臺灣師範大學,圖文傳播學系,英x1.25 國x1.25 數甲x1.00 物x1.00 化x1.00,20,182.00,英文 46,-------,-------,-------,-------,-------
0140,國立臺灣師範大學,機電工程學系,數甲x2.00 物x2.00 英x1.50 化x1.00 國x1.00,16,273.00,數學甲 32,-------,-------,-------,-------,-------
0141,國立臺灣師範大學,電機工程學系,數甲x2.00 物x2.00 英x2.00 化x1.00 國x1.00,21,327.00,,-------,-------,-------,-------,-------
0142,國立臺灣師範大學,車輛與能源工程學士學位學程,數甲x1.50 物x1.50 英x1.00 國x1.00,4,179.50,,-------,-------,-------,-------,-------
0143,國立臺灣師範大學,光電工程學士學位學程,物x2.00 數甲x2.00 化x1.50 英x1.00 國x1.00,14,273.00,物理 48,-------,-------,-------,-------,-------
0144,國立臺灣師範大學,華語文教學系應用華語文學組,英x2.00 國x2.00 歷x1.00,12,230.00,,-------,-------,-------,-------,-------
0145,國立臺灣師範大學,東亞學系,英x2.00 國x1.50 數Bx1.00 公x1.00 歷x1.00,10,292.00,,-------,-------,-------,-------,-------
0146,國立臺灣師範大學,企業管理學系,英x2.00 數Bx2.00 國x1.50 公x1.00,15,302.50,英文 49,-------,-------,-------,-------,-------
0147,國立臺灣師範大學,設計學系產品設計組,數甲x1.25 物x1.25 英x1.25 國x1.00,7,168.75,,-------,-------,-------,-------,-------
0150,國立臺灣師範大學,音樂學系,術科x2.00 英x1.00 國x1.00,3,249.98,,-------,-------,-------,-------,-------
0151,國立臺灣師範大學,表演藝術學士學位學程,國x1.75 歷x1.50 英x1.25,1,221.75,,-------,-------,-------,-------,-------
0152,國立臺灣師範大學,設計學系視覺設計組,術科x1.75 英x1.50 國x1.50 歷x1.00,5,306.03,,-------,-------,-------,-------,-------
0153,國立臺灣師範大學,美術學系繪畫組,術科x1.50 國x1.00 英x1.00 歷x1.00,4,239.02,,-------,-------,-------,-------,-------
0154,國立臺灣師範大學,美術學系水墨畫組,術科x1.50 國x1.00 英x1.00 歷x1.00,5,228.40,,-------,-------,-------,-------,-------
0155,國立臺灣師範大學,體育與運動科學系,英x2.00 生x1.50 數Bx1.00 術科x1.50 國x1.00,8,309.98,,315.58,-------,-------,-------,-------
0156,國立中興大學,中國文學系,國x2.00 英x1.50 歷x1.25,21,191.50,國文 45,206.70,-------,-------,-------,-------
0157,國立中興大學,外國語文學系,英x2.00 國x1.00 歷x1.00 地x1.00,23,212.00,英文 48,-------,-------,-------,-------,-------
0160,國立中興大學,歷史學系,歷x1.50 國x1.00 英x1.00 地x1.00,18,197.00,歷史 50,-------,-------,-------,-------,-------
0161,國立中興大學,台灣人文創新學士學位學程,國x2.00 歷x1.50 英x1.00 地x1.50,4,277.50,,-------,-------,-------,-------,-------
0162,國立中興大學,財務金融學系,英x2.00 數Bx2.00 國x1.00 公x1.00,31,285.00,英文 51,-------,-------,-------,-------,-------
0163,國立中興大學,企業管理學系,英x2.00 數Bx2.00 國x1.00 公x1.00,10,276.00,,-------,-------,-------,-------,-------
0164,國立中興大學,法律學系,國x1.50 英x1.00 數Bx1.00 公x1.50 歷x1.00,21,285.00,,-------,-------,-------,-------,-------
0165,國立中興大學,行銷學系,英x2.00 國x1.00 歷x1.00 地x1.00,16,226.00,,-------,-------,-------,-------,-------
0166,國立中興大學,資訊管理學系,數甲x2.00 英x2.00 國x1.00,22,200.00,"數學甲 28
英文 52",205.75,-------,-------,-------,-------
0167,國立中興大學,會計學系,數Bx2.00 英x2.00 國x1.00 公x1.00,17,283.00,,-------,-------,-------,-------,-------
0170,國立中興大學,應用經濟學系,英x2.00 數甲x1.50 國x1.00,31,177.50,,190.40,-------,-------,-------,-------
0171,國立中興大學,化學系,化x2.00 數甲x2.00 英x1.50 物x1.00 國x1.00,28,272.50,化學 40,-------,-------,-------,-------,-------
